Year,Attribute,Value
1960,Livestock and products output: Dairy,0.549066186
1960,Livestock and products output: Poultry and eggs,0.231855103
1960,Crops output: Total,0.395042828
1960,Crops output: Food grains,0.563868513
1960,Crops output: Feed crops,0.47432992
1960,Crops output: Oil crops,0.170477744
1960,Crops output: Vegetables and melons,0.507447861
1960,Crops output: Fruits and nuts,0.361880071
1960,Crops output: Other crops,0.4566433
1960,Farm-related output,0.219633243
1960,Farm inputs: Total ,0.9924774
1960,Capital inputs: Total,1.222261708
1960,Capital inputs: Durable equipment,0.857350454
1960,Capital inputs: Service buildings,1.156138065
1960,Capital inputs: Land,1.296845623
1960,Capital inputs: Inventories,0.88186531
1960,Labor inputs: Total,2.502949706
1960,Labor inputs: Hired labor,2.124989778
1960,Labor inputs: Self-employed and unpaid family workers,2.727377679
1960,Intermediate inputs: Total,0.577839735
1960,Intermediate inputs: Feed and seed,0.624154499
1960,Intermediate inputs: Energy,1.379849321
1960,Intermediate inputs: Fertilizer and lime,0.359613848
1960,Intermediate inputs: Pesticides,0.057842029
1960,Intermediate inputs: Purchased services,0.602774151
1960,Intermediate inputs: Other intermediate inputs,0.315133437
1960,Total factor productivity (TFP),0.425516542
1961,Total agricultural output,0.427448877
1961,Livestock and products output: Total,0.559230421
1961,Livestock and products output: Meat animals,0.746065518
1961,Livestock and products output: Dairy,0.565323607
1961,Livestock and products output: Poultry and eggs,0.251664834
1961,Crops output: Total,0.389870644
1961,Crops output: Food grains,0.51692397
1961,Crops output: Feed crops,0.442336361
1961,Crops output: Oil crops,0.196285591
1961,Crops output: Vegetables and melons,0.535744801
1961,Crops output: Fruits and nuts,0.373982823
1961,Crops output: Other crops,0.46379744
1961,Farm-related output,0.205153
1961,Farm inputs: Total ,0.97426265
1961,Capital inputs: Total,1.218162757
1961,Capital inputs: Durable equipment,0.842674898
1961,Capital inputs: Service buildings,1.178636667
1961,Capital inputs: Land,1.294818169
1961,Capital inputs: Inventories,0.899584131
1961,Labor inputs: Total,2.441608075
1961,Labor inputs: Hired labor,2.115288129
1961,Labor inputs: Self-employed and unpaid family workers,2.63332158
1961,Intermediate inputs: Total,0.563370759
1961,Intermediate inputs: Feed and seed,0.598371272
1961,Intermediate inputs: Energy,1.411975701
1961,Intermediate inputs: Fertilizer and lime,0.361524939
1961,Intermediate inputs: Pesticides,0.065899078
1961,Intermediate inputs: Purchased services,0.587454368
1961,Intermediate inputs: Other intermediate inputs,0.31641511
1961,Total factor productivity (TFP),0.438740905
1962,Total agricultural output,0.431349805
1962,Livestock and products output: Total,0.557275609
1962,Livestock and products output: Meat animals,0.744130995
1962,Livestock and products output: Dairy,0.571404479
1962,Livestock and products output: Poultry and eggs,0.249976927
1962,Crops output: Total,0.39706659
1962,Crops output: Food grains,0.478887957
1962,Crops output: Feed crops,0.456007397
1962,Crops output: Oil crops,0.198003186
1962,Crops output: Vegetables and melons,0.543931551
1962,Crops output: Fruits and nuts,0.380738876
1962,Crops output: Other crops,0.494174872
1962,Farm-related output,0.209501719
1962,Farm inputs: Total ,0.99535045
1962,Capital inputs: Total,1.21560576
1962,Capital inputs: Durable equipment,0.830753586
1962,Capital inputs: Service buildings,1.203151992
1962,Capital inputs: Land,1.293923564
1962,Capital inputs: Inventories,0.924959142
1962,Labor inputs: Total,2.45011327
1962,Labor inputs: Hired labor,2.111733774
1962,Labor inputs: Self-employed and unpaid family workers,2.649437092
1962,Intermediate inputs: Total,0.589693695
1962,Intermediate inputs: Feed and seed,0.619929893
1962,Intermediate inputs: Energy,1.430676804
1962,Intermediate inputs: Fertilizer and lime,0.46415078
1962,Intermediate inputs: Pesticides,0.073576736
1962,Intermediate inputs: Purchased services,0.595019325
1962,Intermediate inputs: Other intermediate inputs,0.332152534
1962,Total factor productivity (TFP),0.433364757
1963,Total agricultural output,0.446437185
1963,Livestock and products output: Total,0.572018658
1963,Livestock and products output: Meat animals,0.782988409
1963,Livestock and products output: Dairy,0.56926991
1963,Livestock and products output: Poultry and eggs,0.255446189
1963,Crops output: Total,0.4123127
1963,Crops output: Food grains,0.50140663
1963,Crops output: Feed crops,0.48064973
1963,Crops output: Oil crops,0.206732932
1963,Crops output: Vegetables and melons,0.546120985
1963,Crops output: Fruits and nuts,0.366014858
1963,Crops output: Other crops,0.517348653
1963,Farm-related output,0.228177391
1963,Farm inputs: Total ,1.003548656
1963,Capital inputs: Total,1.218020092
1963,Capital inputs: Durable equipment,0.830930056
1963,Capital inputs: Service buildings,1.231264513
1963,Capital inputs: Land,1.292070223
1963,Capital inputs: Inventories,0.952225197
1963,Labor inputs: Total,2.347875282
1963,Labor inputs: Hired labor,2.10820761
1963,Labor inputs: Self-employed and unpaid family workers,2.48556889
1963,Intermediate inputs: Total,0.611128176
1963,Intermediate inputs: Feed and seed,0.64480944
1963,Intermediate inputs: Energy,1.448396404
1963,Intermediate inputs: Fertilizer and lime,0.534190078
1963,Intermediate inputs: Pesticides,0.076569668
1963,Intermediate inputs: Purchased services,0.594036704
1963,Intermediate inputs: Other intermediate inputs,0.348094864
1963,Total factor productivity (TFP),0.444858535
1964,Total agricultural output,0.443901973
1964,Livestock and products output: Total,0.591385842
1964,Livestock and products output: Meat animals,0.821166692
1964,Livestock and products output: Dairy,0.580516151
1964,Livestock and products output: Poultry and eggs,0.264840683
1964,Crops output: Total,0.39948893
1964,Crops output: Food grains,0.555662418
1964,Crops output: Feed crops,0.440721293
1964,Crops output: Oil crops,0.20766255
1964,Crops output: Vegetables and melons,0.527217715
1964,Crops output: Fruits and nuts,0.369934469
1964,Crops output: Other crops,0.512423817
1964,Farm-related output,0.21842345
1964,Farm inputs: Total ,0.987916884
1964,Capital inputs: Total,1.222745846
1964,Capital inputs: Durable equipment,0.840384153
1964,Capital inputs: Service buildings,1.257097969
1964,Capital inputs: Land,1.287865192
1964,Capital inputs: Inventories,0.967284616
1964,Labor inputs: Total,2.206058993
1964,Labor inputs: Hired labor,1.901225704
1964,Labor inputs: Self-employed and unpaid family workers,2.385287908
1964,Intermediate inputs: Total,0.607929188
1964,Intermediate inputs: Feed and seed,0.631979267
1964,Intermediate inputs: Energy,1.479224854
1964,Intermediate inputs: Fertilizer and lime,0.595555129
1964,Intermediate inputs: Pesticides,0.076211915
1964,Intermediate inputs: Purchased services,0.580142935
1964,Intermediate inputs: Other intermediate inputs,0.371103147
1964,Total factor productivity (TFP),0.449331295
1965,Total agricultural output,0.455630787
1965,Livestock and products output: Total,0.57856814
1965,Livestock and products output: Meat animals,0.792930585
1965,Livestock and products output: Dairy,0.569568653
1965,Livestock and products output: Poultry and eggs,0.27318892
1965,Crops output: Total,0.425473119
1965,Crops output: Food grains,0.570974359
1965,Crops output: Feed crops,0.497952133
1965,Crops output: Oil crops,0.244699893
1965,Crops output: Vegetables and melons,0.531853957
1965,Crops output: Fruits and nuts,0.388955126
1965,Crops output: Other crops,0.48408505
1965,Farm-related output,0.213901837
1965,Farm inputs: Total ,0.975317999
1965,Capital inputs: Total,1.225796873
1965,Capital inputs: Durable equipment,0.853852847
1965,Capital inputs: Service buildings,1.280852983
1965,Capital inputs: Land,1.280234752
1965,Capital inputs: Inventories,0.937011336
1965,Labor inputs: Total,2.15180848
1965,Labor inputs: Hired labor,1.789884561
1965,Labor inputs: Self-employed and unpaid family workers,2.366845215
1965,Intermediate inputs: Total,0.598344596
1965,Intermediate inputs: Feed and seed,0.619216995
1965,Intermediate inputs: Energy,1.501373908
1965,Intermediate inputs: Fertilizer and lime,0.530247017
1965,Intermediate inputs: Pesticides,0.082712012
1965,Intermediate inputs: Purchased services,0.588291536
1965,Intermediate inputs: Other intermediate inputs,0.369055008
1965,Total factor productivity (TFP),0.467161262
1966,Total agricultural output,0.45427794
1966,Livestock and products output: Total,0.591350766
1966,Livestock and products output: Meat animals,0.823292553
1966,Livestock and products output: Dairy,0.551422404
1966,Livestock and products output: Poultry and eggs,0.289071693
1966,Crops output: Total,0.417302315
1966,Crops output: Food grains,0.574618659
1966,Crops output: Feed crops,0.496806629
1966,Crops output: Oil crops,0.25107259
1966,Crops output: Vegetables and melons,0.56495493
1966,Crops output: Fruits and nuts,0.40289964
1966,Crops output: Other crops,0.411028777
1966,Farm-related output,0.20430467
1966,Farm inputs: Total ,0.996304662
1966,Capital inputs: Total,1.231167971
1966,Capital inputs: Durable equipment,0.87618769
1966,Capital inputs: Service buildings,1.30618326
1966,Capital inputs: Land,1.269271401
1966,Capital inputs: Inventories,0.977609317
1966,Labor inputs: Total,1.999189969
1966,Labor inputs: Hired labor,1.612283927
1966,Labor inputs: Self-employed and unpaid family workers,2.230360173
1966,Intermediate inputs: Total,0.646934444
1966,Intermediate inputs: Feed and seed,0.668499949
1966,Intermediate inputs: Energy,1.523293014
1966,Intermediate inputs: Fertilizer and lime,0.734639836
1966,Intermediate inputs: Pesticides,0.088601198
1966,Intermediate inputs: Purchased services,0.593813477
1966,Intermediate inputs: Other intermediate inputs,0.376590736
1966,Total factor productivity (TFP),0.455962877
1967,Total agricultural output,0.469380085
1967,Livestock and products output: Total,0.602263417
1967,Livestock and products output: Meat animals,0.848406442
1967,Livestock and products output: Dairy,0.547215905
1967,Livestock and products output: Poultry and eggs,0.30239888
1967,Crops output: Total,0.436138081
1967,Crops output: Food grains,0.648209534
1967,Crops output: Feed crops,0.543207444
1967,Crops output: Oil crops,0.258701517
1967,Crops output: Vegetables and melons,0.592543931
1967,Crops output: Fruits and nuts,0.399311262
1967,Crops output: Other crops,0.37409877
1967,Farm-related output,0.209436003
1967,Farm inputs: Total ,0.989276713
1967,Capital inputs: Total,1.237908313
1967,Capital inputs: Durable equipment,0.906754765
1967,Capital inputs: Service buildings,1.334083461
1967,Capital inputs: Land,1.255193408
1967,Capital inputs: Inventories,0.985395341
1967,Labor inputs: Total,1.879006662
1967,Labor inputs: Hired labor,1.497819352
1967,Labor inputs: Self-employed and unpaid family workers,2.107102545
1967,Intermediate inputs: Total,0.654395533
1967,Intermediate inputs: Feed and seed,0.673651641
1967,Intermediate inputs: Energy,1.517322552
1967,Intermediate inputs: Fertilizer and lime,0.687575141
1967,Intermediate inputs: Pesticides,0.128563429
1967,Intermediate inputs: Purchased services,0.604563813
1967,Intermediate inputs: Other intermediate inputs,0.371098093
1967,Total factor productivity (TFP),0.474467941
1968,Total agricultural output,0.476480358
1968,Livestock and products output: Total,0.600861278
1968,Livestock and products output: Meat animals,0.858064096
1968,Livestock and products output: Dairy,0.54237819
1968,Livestock and products output: Poultry and eggs,0.293697171
1968,Crops output: Total,0.450059839
1968,Crops output: Food grains,0.687137256
1968,Crops output: Feed crops,0.527721047
1968,Crops output: Oil crops,0.295709122
1968,Crops output: Vegetables and melons,0.629065562
1968,Crops output: Fruits and nuts,0.391473352
1968,Crops output: Other crops,0.415129316
1968,Farm-related output,0.199977715
1968,Farm inputs: Total ,0.985384978
1968,Capital inputs: Total,1.248922516
1968,Capital inputs: Durable equipment,0.943480561
1968,Capital inputs: Service buildings,1.370853715
1968,Capital inputs: Land,1.238313657
1968,Capital inputs: Inventories,1.006991056
1968,Labor inputs: Total,1.871789989
1968,Labor inputs: Hired labor,1.449588571
1968,Labor inputs: Self-employed and unpaid family workers,2.125131018
1968,Intermediate inputs: Total,0.647021156
1968,Intermediate inputs: Feed and seed,0.681764106
1968,Intermediate inputs: Energy,1.520796468
1968,Intermediate inputs: Fertilizer and lime,0.573373909
1968,Intermediate inputs: Pesticides,0.128448188
1968,Intermediate inputs: Purchased services,0.60230251
1968,Intermediate inputs: Other intermediate inputs,0.381276918
1968,Total factor productivity (TFP),0.483547414
1969,Total agricultural output,0.485925968
1969,Livestock and products output: Total,0.603549361
1969,Livestock and products output: Meat animals,0.864714631
1969,Livestock and products output: Dairy,0.53866799
1969,Livestock and products output: Poultry and eggs,0.301469667
1969,Crops output: Total,0.46678246
1969,Crops output: Food grains,0.633963983
1969,Crops output: Feed crops,0.546436795
1969,Crops output: Oil crops,0.299135953
1969,Crops output: Vegetables and melons,0.603237183
1969,Crops output: Fruits and nuts,0.465268871
1969,Crops output: Other crops,0.467339245
1969,Farm-related output,0.185362787
